epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,623.296,1.56985,1.18264,1.35772,0.6128,0.13408,0.05995,0.02359,2.43675,3.89044,1.93519,0.000631393,0.000631393,0.000631393
44,635.096,1.65641,1.2368,1.40699,0.62589,0.16201,0.08251,0.035,2.45884,3.09988,1.96302,0.000627105,0.000627105,0.000627105
45,648.826,1.81219,1.23796,1.41562,0.62589,0.16201,0.08251,0.035,2.45884,3.09988,1.96302,0.000621938,0.000621938,0.000621938
46,660.892,1.75585,1.17137,1.39298,0.72219,0.15456,0.132,0.05558,2.38626,2.62805,1.92534,0.00061589,0.00061589,0.00061589
47,674.217,1.64953,1.12026,1.3284,0.72219,0.15456,0.132,0.05558,2.38626,2.62805,1.92534,0.000608962,0.000608962,0.000608962
48,687.058,1.63978,1.13397,1.38258,0.66777,0.17132,0.09707,0.04104,2.34039,2.7634,1.90336,0.000601154,0.000601154,0.000601154
49,702.224,1.76254,1.20326,1.44227,0.66777,0.17132,0.09707,0.04104,2.34039,2.7634,1.90336,0.000592465,0.000592465,0.000592465
50,712.614,1.65381,1.14571,1.37987,0.13088,0.17132,0.07544,0.0301,2.36585,3.07564,1.85751,0.000582897,0.000582897,0.000582897
51,725.442,1.5829,1.14262,1.35737,0.13088,0.17132,0.07544,0.0301,2.36585,3.07564,1.85751,0.00056678,0.00056678,0.00056678
52,737.865,1.68065,1.16192,1.39226,0.14498,0.17412,0.08329,0.03347,2.23839,3.03321,1.79918,0.000544776,0.000544776,0.000544776
53,753.275,1.62185,1.14957,1.3672,0.14498,0.17412,0.08329,0.03347,2.23839,3.03321,1.79918,0.000522771,0.000522771,0.000522771
54,768.282,1.58497,1.11815,1.34497,0.13075,0.20019,0.08431,0.03788,2.1791,2.79328,1.77083,0.000500767,0.000500767,0.000500767
55,781.537,1.51904,1.05819,1.2745,0.13075,0.20019,0.08431,0.03788,2.1791,2.79328,1.77083,0.000478762,0.000478762,0.000478762
56,796.609,1.6348,1.12059,1.36818,0.20473,0.23308,0.14789,0.06823,2.25169,2.21293,1.80812,0.000456758,0.000456758,0.000456758
57,809.932,1.41972,1.0472,1.27864,0.20473,0.23308,0.14789,0.06823,2.25169,2.21293,1.80812,0.000434754,0.000434754,0.000434754
58,824.962,1.38311,1.03862,1.26034,0.24356,0.21445,0.17288,0.08723,2.15918,1.88986,1.79355,0.000412749,0.000412749,0.000412749
59,838.744,1.44653,1.05392,1.26992,0.24356,0.21445,0.17288,0.08723,2.15918,1.88986,1.79355,0.000390745,0.000390745,0.000390745
60,852.795,1.64824,1.17114,1.37368,0.22655,0.19553,0.17356,0.08684,2.17456,1.77067,1.79315,0.00036874,0.00036874,0.00036874
61,865.286,1.3475,1.05469,1.25284,0.22655,0.19553,0.17356,0.08684,2.17456,1.77067,1.79315,0.000346736,0.000346736,0.000346736
62,880.027,1.31443,1.0178,1.24719,0.29086,0.18707,0.17831,0.08096,2.30393,1.78778,1.84933,0.000324732,0.000324732,0.000324732
63,897.238,1.35488,0.97036,1.20633,0.29086,0.18707,0.17831,0.08096,2.30393,1.78778,1.84933,0.000302727,0.000302727,0.000302727
64,910.499,1.46546,1.04146,1.2571,0.27705,0.20103,0.18543,0.08852,2.21096,1.77387,1.81578,0.000280723,0.000280723,0.000280723
65,925.754,1.5976,1.05934,1.31574,0.27705,0.20103,0.18543,0.08852,2.21096,1.77387,1.81578,0.000258718,0.000258718,0.000258718
66,938.307,1.55358,1.11728,1.36891,0.314,0.20607,0.19174,0.10372,2.02961,1.65946,1.73016,0.000236714,0.000236714,0.000236714
67,953.236,1.56243,1.16247,1.39588,0.314,0.20607,0.19174,0.10372,2.02961,1.65946,1.73016,0.00021471,0.00021471,0.00021471
68,969.074,1.53299,1.14378,1.34191,0.27857,0.24259,0.21074,0.1152,1.98328,1.56697,1.68714,0.000192705,0.000192705,0.000192705
69,983.597,1.54032,1.1084,1.36143,0.27857,0.24259,0.21074,0.1152,1.98328,1.56697,1.68714,0.000170701,0.000170701,0.000170701
70,995.873,1.48276,1.09856,1.3651,0.30404,0.26923,0.22832,0.12509,1.92475,1.51652,1.6497,0.000148696,0.000148696,0.000148696
71,1006.32,1.43154,1.08491,1.32352,0.30404,0.26923,0.22832,0.12509,1.92475,1.51652,1.6497,0.000126692,0.000126692,0.000126692
72,1020.75,1.52209,1.10779,1.34834,0.40478,0.2492,0.23915,0.13166,1.88032,1.5081,1.63026,0.000104688,0.000104688,0.000104688
73,1034.79,1.35057,1.04401,1.294,0.40478,0.2492,0.23915,0.13166,1.88032,1.5081,1.63026,8.26832e-05,8.26832e-05,8.26832e-05
74,1047.18,1.34386,1.02881,1.2808,0.48083,0.26626,0.25512,0.13627,1.86718,1.49062,1.62243,6.06788e-05,6.06788e-05,6.06788e-05
75,1062.67,1.38885,1.06007,1.30315,0.48083,0.26626,0.25512,0.13627,1.86718,1.49062,1.62243,3.86744e-05,3.86744e-05,3.86744e-05
